<TICKER>;<PER>;<DATE>;<TIME>;LAST;<VOL>
GAZP;0;18.02.2021;10:00:52;228.510000000;10
GAZP;0;18.02.2021;10:00:52;228.510000000;150
GAZP;0;18.02.2021;10:00:53;228.510000000;30
GAZP;0;18.02.2021;10:00:53;228.510000000;100
GAZP;0;18.02.2021;10:00:53;228.520000000;70
GAZP;0;18.02.2021;10:00:53;228.380000000;70
GAZP;0;18.02.2021;10:00:53;228.380000000;200
GAZP;0;18.02.2021;10:00:53;228.370000000;100
GAZP;0;18.02.2021;10:00:53;228.360000000;30
GAZP;0;18.02.2021;10:00:53;228.370000000;1000
GAZP;0;18.02.2021;10:00:53;228.520000000;10
GAZP;0;18.02.2021;10:00:54;228.520000000;20
GAZP;0;18.02.2021;10:00:54;228.520000000;360
GAZP;0;18.02.2021;10:00:54;228.380000000;80
GAZP;0;18.02.2021;10:00:55;228.520000000;10
GAZP;0;18.02.2021;10:00:57;228.540000000;1500
GAZP;0;18.02.2021;10:00:57;228.550000000;10
GAZP;0;18.02.2021;10:00:57;228.550000000;290
GAZP;0;18.02.2021;10:00:58;228.550000000;210
GAZP;0;18.02.2021;10:00:58;228.600000000;290
GAZP;0;18.02.2021;10:00:59;228.500000000;30
GAZP;0;18.02.2021;10:00:59;228.500000000;500
GAZP;0;18.02.2021;10:00:59;228.580000000;40
GAZP;0;18.02.2021;10:00:59;228.420000000;100
GAZP;0;18.02.2021;10:00:59;228.410000000;1500
GAZP;0;18.02.2021;10:00:59;228.380000000;20
GAZP;0;18.02.2021;10:00:59;228.380000000;400
GAZP;0;18.02.2021;10:00:59;228.380000000;180
GAZP;0;18.02.2021;10:01:00;228.390000000;30
GAZP;0;18.02.2021;10:01:00;228.390000000;70
GAZP;0;18.02.2021;10:01:00;228.380000000;20
GAZP;0;18.02.2021;10:01:00;228.380000000;50
GAZP;0;18.02.2021;10:01:00;228.370000000;60
GAZP;0;18.02.2021;10:01:00;228.380000000;100
GAZP;0;18.02.2021;10:01:00;228.360000000;2200
GAZP;0;18.02.2021;10:01:00;228.360000000;2180
GAZP;0;18.02.2021;10:01:01;228.500000000;80
GAZP;0;18.02.2021;10:01:02;228.500000000;10
GAZP;0;18.02.2021;10:01:02;228.490000000;500
GAZP;0;18.02.2021;10:01:02;228.490000000;100
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:03;228.350000000;10
GAZP;0;18.02.2021;10:01:03;228.490000000;10
GAZP;0;18.02.2021;10:01:04;228.490000000;2000
GAZP;0;18.02.2021;10:01:05;228.490000000;70
GAZP;0;18.02.2021;10:01:05;228.490000000;160
GAZP;0;18.02.2021;10:01:05;228.380000000;100
GAZP;0;18.02.2021;10:01:05;228.380000000;430
GAZP;0;18.02.2021;10:01:05;228.370000000;470
GAZP;0;18.02.2021;10:01:05;228.490000000;100
GAZP;0;18.02.2021;10:01:05;228.490000000;1410
GAZP;0;18.02.2021;10:01:05;228.500000000;500
GAZP;0;18.02.2021;10:01:05;228.500000000;10
GAZP;0;18.02.2021;10:01:05;228.500000000;2880
GAZP;0;18.02.2021;10:01:06;228.500000000;100
GAZP;0;18.02.2021;10:01:06;228.500000000;10
GAZP;0;18.02.2021;10:01:06;228.500000000;100
GAZP;0;18.02.2021;10:01:07;228.350000000;670
GAZP;0;18.02.2021;10:01:07;228.360000000;100
GAZP;0;18.02.2021;10:01:07;228.350000000;160
GAZP;0;18.02.2021;10:01:07;228.350000000;230
GAZP;0;18.02.2021;10:01:07;228.350000000;210
GAZP;0;18.02.2021;10:01:07;228.350000000;250
GAZP;0;18.02.2021;10:01:07;228.400000000;30
GAZP;0;18.02.2021;10:01:08;228.400000000;10
GAZP;0;18.02.2021;10:01:08;228.400000000;20
GAZP;0;18.02.2021;10:01:08;228.500000000;500
GAZP;0;18.02.2021;10:01:08;228.400000000;3970
GAZP;0;18.02.2021;10:01:09;228.490000000;40
GAZP;0;18.02.2021;10:01:09;228.370000000;100
GAZP;0;18.02.2021;10:01:09;228.360000000;50
GAZP;0;18.02.2021;10:01:11;228.370000000;100
GAZP;0;18.02.2021;10:01:11;228.360000000;250
GAZP;0;18.02.2021;10:01:11;228.360000000;10
GAZP;0;18.02.2021;10:01:11;228.480000000;50
GAZP;0;18.02.2021;10:01:12;228.400000000;20
GAZP;0;18.02.2021;10:01:12;228.360000000;190
GAZP;0;18.02.2021;10:01:12;228.370000000;100
GAZP;0;18.02.2021;10:01:12;228.360000000;110
GAZP;0;18.02.2021;10:01:13;228.370000000;1000
GAZP;0;18.02.2021;10:01:13;228.490000000;10
GAZP;0;18.02.2021;10:01:13;228.490000000;20
GAZP;0;18.02.2021;10:01:13;228.370000000;10
GAZP;0;18.02.2021;10:01:15;228.370000000;20
GAZP;0;18.02.2021;10:01:15;228.370000000;80
GAZP;0;18.02.2021;10:01:15;228.360000000;820
GAZP;0;18.02.2021;10:01:15;228.400000000;1200
GAZP;0;18.02.2021;10:01:16;228.490000000;100
GAZP;0;18.02.2021;10:01:16;228.380000000;10
GAZP;0;18.02.2021;10:01:17;228.490000000;10
GAZP;0;18.02.2021;10:01:17;228.370000000;90
GAZP;0;18.02.2021;10:01:17;228.360000000;310
GAZP;0;18.02.2021;10:01:17;228.360000000;2670
GAZP;0;18.02.2021;10:01:17;228.350000000;340
GAZP;0;18.02.2021;10:01:17;228.350000000;10
GAZP;0;18.02.2021;10:01:17;228.350000000;6980
GAZP;0;18.02.2021;10:01:17;228.470000000;50
GAZP;0;18.02.2021;10:01:18;228.460000000;300
GAZP;0;18.02.2021;10:01:18;228.460000000;200
GAZP;0;18.02.2021;10:01:18;228.360000000;50
GAZP;0;18.02.2021;10:01:18;228.350000000;8950
GAZP;0;18.02.2021;10:01:18;228.350000000;14070
GAZP;0;18.02.2021;10:01:18;228.350000000;3000
GAZP;0;18.02.2021;10:01:18;228.350000000;10950
GAZP;0;18.02.2021;10:01:19;228.360000000;10
GAZP;0;18.02.2021;10:01:19;228.350000000;30
GAZP;0;18.02.2021;10:01:19;228.450000000;100
